Predicted_SOH,Condition
4.517167830536478,Healthy
4.322581455146394,Healthy
4.288666832004892,Healthy
4.154788972989323,Healthy
4.105823083840618,Healthy
3.9093386333263593,Healthy
4.5728844876590635,Healthy
4.393902745003034,Healthy
4.353791804109307,Healthy
4.174594391884963,Healthy
4.08904216025194,Healthy
4.0328353419507925,Healthy
4.415526947473706,Healthy
4.334542562359847,Healthy
4.267731056252514,Healthy
4.1447377971667265,Healthy
4.0047117888130135,Healthy
4.534677675158552,Healthy
4.321340247332491,Healthy
4.283709207923022,Healthy
4.189730354423306,Healthy
4.212669229787613,Healthy
4.008393483963499,Healthy
4.508893459091798,Healthy
4.2956956711196,Healthy
4.113958830051526,Healthy
3.9758109718616863,Healthy
3.901492126863841,Healthy
4.516251058891511,Healthy
4.347271139552083,Healthy
4.254363998418679,Healthy
4.078231834327369,Healthy
3.941617438683299,Healthy
3.757357436396917,Healthy
4.513947619303472,Healthy
4.3100395005189345,Healthy
4.202582622104546,Healthy
4.041510593394086,Healthy
4.075619343467012,Healthy
3.914912493019944,Healthy
4.5056190542914365,Healthy
4.341973817904678,Healthy
4.123086173940766,Healthy
4.152100777079646,Healthy
3.9780676751523205,Healthy
4.542352885949701,Healthy
4.339533571162343,Healthy
4.3148056463818225,Healthy
4.168084231133497,Healthy
4.158207618364253,Healthy
3.8534455909395406,Healthy
4.3751741611987045,Healthy
4.203310384953325,Healthy
4.1519975131259805,Healthy
4.0695359370140025,Healthy
3.8724607512663547,Healthy
3.756193503890616,Healthy
4.338887288341096,Healthy
4.281655751254483,Healthy
4.148361507948973,Healthy
4.087859146961012,Healthy
3.797135289248806,Healthy
4.510665181967465,Healthy
4.382645003135633,Healthy
4.208849403510169,Healthy
4.073198764303679,Healthy
3.887941856102467,Healthy
4.551924787017741,Healthy
4.451511617788503,Healthy
4.352551576670043,Healthy
4.263117387763087,Healthy
4.184354113401757,Healthy
4.067746213319437,Healthy
4.633504946191966,Healthy
4.4830500492980345,Healthy
4.39221262166302,Healthy
4.305764518430503,Healthy
