Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,14,E3-300,2.1,1.8272,5,5,4.35047619047619,0.003829787234042925,0.00594606073476367,0.015546310488285364,0.020230585164236814,0.004042553191489162,0.008449514152935933,0.010092854259184492,0.0038492706645056884,0.0034064296359375135,0.01381215469613295,0.02439570277529146,0.03163716814159301,0.00467786519243063,0.01047998323202659,0.030974281959826655,0.03387278885961642,0.0027694929697492654,0.0,0.03879011775571506,0.04701627486437587,0.005315755900488384,0.870095238095238
NMC,15,E3-400,2.1,1.7676,5,5,4.208571428571429,0.015106382978723687,0.011255043533659581,0.03678563608495722,0.0376332390689571,0.01595744680851041,0.02471482889733867,0.008679854662899444,0.0026337115072934125,0.015328933361720587,0.010412239694007397,0.05416293643688519,0.06526548672566435,0.015734637465447676,0.036470341647453,0.01989862962267619,0.02860368837034244,0.015125692373242572,0.01901140684410585,0.07527129993073167,0.1001356238698019,0.017860939825642852,0.8417142857142857
NMC,16,E3-500,2.1,1.6929,5,5,4.030714285714286,0.030212765957447374,0.032278615417286716,0.056273264725202665,0.057863824233194805,0.03042553191489361,0.03929024081115351,0.018772708922083936,0.01641004862236528,0.030444964871194635,0.03229919252018654,0.07699194270367116,0.08230088495575227,0.031044014458855962,0.038985537623140054,0.026281208935610145,0.030861874294317637,0.029186195142735905,0.033375580904097646,0.10113137843454112,0.1164104882459327,0.03295768658303189,0.8061428571428572
NMC,17,E3-600,2.1,1.5726,5,5,3.7442857142857138,0.05063829787234031,0.057974092163941116,0.0834245675498142,0.08962366760931051,0.05148936170212792,0.058090409801437204,0.03431570448122745,0.03342787682333892,0.05088354268682149,0.04802379940501478,0.10899731423455705,0.1117256637168147,0.05273229853285155,0.05910710542863118,0.03735686127276061,0.04723372224313138,0.05027694929697546,0.07520067596113211,0.13899792195797644,0.14511754068716165,0.05528386136508612,0.7488571428571428
NMC,18,E4-100,2.1,1.9052,5,5,4.536190476190476,0.003829787234042925,0.011892121469526451,0.0035033939128528147,0.007396127909505168,0.004042553191489162,0.0038022813688218804,0.01998385143318604,0.021474878444084133,0.0034064296359375135,0.0169995750106251,0.00559534467323175,0.010398230088496163,0.003189453540293208,0.004611192622092197,0.05068518866153493,0.049680090327437476,0.003408606731999164,0.04457118715673758,0.007157700300160386,0.025316455696202667,0.003189453540293208,0.9072380952380952
NMC,19,E4-200,2.1,1.8324,5,5,4.362857142857143,0.007872340425532975,0.015077511148864353,0.020363477118459095,0.026974113552316936,0.008085106382979212,0.008449514152935933,0.010092854259184492,0.006888168557535934,0.007451564828613755,0.019124521886952905,0.031333930170098334,0.0440265486725675,0.0072294280246651965,0.009851184238105049,0.027407546461422072,0.031426420775310326,0.005965061780996983,0.045204900718208485,0.0466404987300848,0.04701627486437587,0.007867318732723838,0.8725714285714286
NMC,20,E4-300,2.1,1.7794,5,5,4.236666666666666,0.005957446808511513,0.010617965597791823,0.019706590759798637,0.020883184685664524,0.006595744680851112,0.009083227714406839,0.008074283407347949,0.01012965964343504,0.004683840749414081,0.0,0.033348254252461906,0.03849557522123881,0.005953646608547913,0.022846363445817808,0.025718040172703738,0.035001881821603575,0.004686834256498074,0.04119138149556356,0.05172015700762067,0.05108499095840813,0.007867318732723838,0.8473333333333334
NMC,21,E4-400,2.1,1.7229,5,5,4.102142857142857,0.01702127659574515,0.013166277341261079,0.04204072695423644,0.04720469871655464,0.017872340425531874,0.026193493874101748,0.008679854662899444,0.010737439222041623,0.017883755588673722,0.028261793455163442,0.06177260519248051,0.06592920353982379,0.01849883053370238,0.025990358415426407,0.017458231650083533,0.023899134362062924,0.01725607158074194,0.036755386565271664,0.08519972292773126,0.08905967450271213,0.019136721241761023,0.8204285714285714
NMC,22,E4-500,2.1,1.6562,5,5,3.9433333333333325,0.017659574468085637,0.014440433212997483,0.03459601488942443,0.03632804002610346,0.018510638297871473,0.02281368821292773,0.019378280177634544,0.017625607779578445,0.01852246114541245,0.014449638759030492,0.04991047448522856,0.05420353982300963,0.019136721241760135,0.02661915740934795,0.03735686127276061,0.03330824237862284,0.01789518534299095,0.04393747359526756,0.07088432232740693,0.08476491862567848,0.020412502657878306,0.7886666666666666
NMC,23,E4-600,2.1,1.5474,5,5,3.684285714285714,0.04680851063829827,0.05075387555744282,0.08276768119115374,0.08288013922123127,0.047659574468085,0.0574566962399663,0.0262414210738795,0.023905996758508685,0.04769001490312963,0.0461113472163186,0.1096687555953455,0.12146017699115053,0.04869232404847956,0.05659190945294501,0.028533883987234,0.03613097478359073,0.04686834256497718,0.06865230249260623,0.14038328330639516,0.14783001808318375,0.05145651711673338,0.7368571428571429
